codigo_comuna,comuna,sexo,anos_de_escolaridad_promedio_para_la_poblacion_de_18_anos_o_mas
0,País,Hombre,12.1
0,País,Mujer,12.1
15101,Arica,Hombre,12.3
15101,Arica,Mujer,12.3
15102,Camarones,Hombre,9.9
15102,Camarones,Mujer,10.1
15201,Putre,Hombre,10.7
15201,Putre,Mujer,9.8
15202,General Lagos,Hombre,7.8
15202,General Lagos,Mujer,5.8
1101,Iquique,Hombre,13
1101,Iquique,Mujer,12.8
1107,Alto Hospicio,Hombre,11.4
1107,Alto Hospicio,Mujer,11.4
1401,Pozo Almonte,Hombre,11.3
1401,Pozo Almonte,Mujer,11.1
1402,Camiña,Hombre,9.1
1402,Camiña,Mujer,8.7
1403,Colchane,Hombre,8.5
1403,Colchane,Mujer,7.4
1404,Huara,Hombre,10.1
1404,Huara,Mujer,9.8
1405,Pica,Hombre,11.6
1405,Pica,Mujer,11.5
2101,Antofagasta,Hombre,12.8
2101,Antofagasta,Mujer,12.6
2102,Mejillones,Hombre,11.5
2102,Mejillones,Mujer,11.4
2103,Sierra Gorda,Hombre,11.4
2103,Sierra Gorda,Mujer,11.1
2104,Taltal,Hombre,11
2104,Taltal,Mujer,11.3
2201,Calama,Hombre,12.5
2201,Calama,Mujer,12.2
2202,Ollagüe,Hombre,11.6
2202,Ollagüe,Mujer,9.9
2203,San Pedro de Atacama,Hombre,11.9
2203,San Pedro de Atacama,Mujer,11.7
2301,Tocopilla,Hombre,11.4
2301,Tocopilla,Mujer,11.4
2302,María Elena,Hombre,12.1
2302,María Elena,Mujer,11.9
3101,Copiapó,Hombre,12.2
3101,Copiapó,Mujer,12.2
3102,Caldera,Hombre,11.6
3102,Caldera,Mujer,11.8
3103,Tierra Amarilla,Hombre,10.4
3103,Tierra Amarilla,Mujer,10.5
3201,Chañaral,Hombre,11.2
3201,Chañaral,Mujer,11.3
3202,Diego de Almagro,Hombre,11.9
3202,Diego de Almagro,Mujer,11.8
3301,Vallenar,Hombre,11.4
3301,Vallenar,Mujer,11.4
3302,Alto del Carmen,Hombre,9.5
3302,Alto del Carmen,Mujer,10
3303,Freirina,Hombre,10.4
3303,Freirina,Mujer,10.6
3304,Huasco,Hombre,11.3
3304,Huasco,Mujer,11.4
4101,La Serena,Hombre,12.9
4101,La Serena,Mujer,12.8
4102,Coquimbo,Hombre,12.3
4102,Coquimbo,Mujer,12.3
4103,Andacollo,Hombre,10.5
4103,Andacollo,Mujer,10.8
4104,La Higuera,Hombre,9.1
4104,La Higuera,Mujer,9.7
4105,Paiguano,Hombre,10.9
4105,Paiguano,Mujer,11.5
4106,Vicuña,Hombre,10.8
4106,Vicuña,Mujer,11.1
4201,Illapel,Hombre,10.8
4201,Illapel,Mujer,10.9
4202,Canela,Hombre,9.1
4202,Canela,Mujer,9
4203,Los Vilos,Hombre,10.9
4203,Los Vilos,Mujer,11.1
4204,Salamanca,Hombre,10.5
4204,Salamanca,Mujer,10.8
4301,Ovalle,Hombre,11.1
4301,Ovalle,Mujer,11.2
4302,Combarbalá,Hombre,9.7
4302,Combarbalá,Mujer,9.7
4303,Monte Patria,Hombre,9.4
4303,Monte Patria,Mujer,9.8
4304,Punitaqui,Hombre,9.8
4304,Punitaqui,Mujer,10
4305,Río Hurtado,Hombre,9.2
4305,Río Hurtado,Mujer,9.3
5101,Valparaíso,Hombre,12.6
5101,Valparaíso,Mujer,12.5
5102,Casablanca,Hombre,11.5
5102,Casablanca,Mujer,11.7
5103,Concón,Hombre,14.1
5103,Concón,Mujer,13.8
5104,Juan Fernández,Hombre,12.3
5104,Juan Fernández,Mujer,12.8
5105,Puchuncaví,Hombre,11.6
5105,Puchuncaví,Mujer,11.7
5107,Quintero,Hombre,11.9
5107,Quintero,Mujer,11.8
5109,Viña del Mar,Hombre,13.3
5109,Viña del Mar,Mujer,13
5201,Isla de Pascua,Hombre,12.3
5201,Isla de Pascua,Mujer,13.3
5301,Los Andes,Hombre,12.4
5301,Los Andes,Mujer,12.2
5302,Calle Larga,Hombre,11.7
5302,Calle Larga,Mujer,11.9
5303,Rinconada,Hombre,11.7
5303,Rinconada,Mujer,11.9
5304,San Esteban,Hombre,11.5
5304,San Esteban,Mujer,11.7
5401,La Ligua,Hombre,11
5401,La Ligua,Mujer,11.3
5402,Cabildo,Hombre,10.4
5402,Cabildo,Mujer,10.8
5403,Papudo,Hombre,11.3
5403,Papudo,Mujer,11.7
5404,Petorca,Hombre,10.3
5404,Petorca,Mujer,10.7
5405,Zapallar,Hombre,11.7
5405,Zapallar,Mujer,11.8
5501,Quillota,Hombre,12
5501,Quillota,Mujer,12.1
5502,Calera,Hombre,11.4
5502,Calera,Mujer,11.4
5503,Hijuelas,Hombre,10.5
5503,Hijuelas,Mujer,11
5504,La Cruz,Hombre,12.8
5504,La Cruz,Mujer,12.9
5506,Nogales,Hombre,10.9
5506,Nogales,Mujer,10.7
5601,San Antonio,Hombre,11.5
5601,San Antonio,Mujer,11.6
5602,Algarrobo,Hombre,12.9
5602,Algarrobo,Mujer,12.7
5603,Cartagena,Hombre,10.8
5603,Cartagena,Mujer,10.9
5604,El Quisco,Hombre,12.2
5604,El Quisco,Mujer,12.1
5605,El Tabo,Hombre,11.7
5605,El Tabo,Mujer,11.6
5606,Santo Domingo,Hombre,12.5
5606,Santo Domingo,Mujer,12.7
5701,San Felipe,Hombre,11.9
