comuna,apruebo,rechazo,votos_en_blanco_2022,votos_nulos_2022,a_favor,en_contra,votos_en_blanco_2023,votos_nulos_2023
ALGARROBO,5128,8849,69,261,6766,7264,162,505
ALHUE,1807,3264,38,101,1962,3097,85,226
ALTO BIOBIO,1263,3265,93,140,2013,1990,199,356
ALTO DEL CARMEN,1324,2679,32,69,1510,2245,94,221
ALTO HOSPICIO,14219,37299,274,977,24231,28564,664,2594
ANCUD,10265,21746,259,473,13729,16253,785,1537
ANDACOLLO,4425,5192,102,186,2984,6262,190,444
ANGOL,7786,32045,182,520,23900,14851,465,1404
ANTARTICA,9,47,0,0,30,15,0,2
ANTOFAGASTA,93293,144366,1497,4348,93648,138986,3175,9972
ANTUCO,945,2659,26,67,1683,1748,63,175
ARAUCO,6888,20894,182,428,13276,13635,449,1222
ARICA,47629,94555,925,3331,63561,75776,2081,6484
AYSEN,5916,10317,130,239,6376,9291,383,758
BUIN,27800,45754,455,954,33145,40972,943,2364
BULNES,4087,13865,140,263,10143,7340,348,829
CABILDO,6292,9537,128,253,5475,9659,274,639
CABO DE HORNOS(EX-NAVARINO),298,813,0,2,559,426,11,28
CABRERO,4554,18448,159,306,12764,9873,408,1007
CALAMA,29751,72479,521,1996,44658,54405,1165,4495
CALBUCO,6813,19262,253,400,12569,12345,855,1322
CALDERA,5993,7000,104,190,4658,8055,181,547
CALERA,16599,21650,255,730,13770,23379,517,1570
CALERA DE TANGO,7078,13256,126,274,9682,9963,262,604
CALLE LARGA,3839,6820,57,158,4120,6490,115,347
CAMARONES,571,1269,10,32,682,850,13,55
CAMIÑA,202,1432,6,15,890,417,10,37
CANELA,3482,4113,89,113,2784,4440,206,304
CARAHUE,4753,14560,160,271,9885,8275,405,950
CARTAGENA,6924,9966,106,313,7284,10155,232,717
CASABLANCA,6814,13624,134,382,9484,10942,298,877
CASTRO,12453,21064,278,545,13670,18231,792,1735
CATEMU,3595,7294,86,153,4453,6133,207,423
CAUQUENES,5927,26604,179,397,19459,12004,419,1335
CAÑETE,5615,19848,180,347,14091,10387,366,1175
CERRILLOS,25821,30327,337,840,20714,32624,597,1758
